Name,Platform,Format,Now Playing,Ownership Status,Progress Status
Sid Meier's Civilization III: Play the World,PC / Windows,Digital (Steam),No,Owned,Incomplete
Sid Meier's Civilization IV: Beyond the Sword,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Sid Meier's Civilization V,PC / Windows,Digital (Steam),No,Owned,Completionated
Sid Meier's Civilization: Beyond Earth,PC / Windows,Digital (Steam),No,Owned,Completionated
SimCity 2000,PC / Windows,Digital (GOG),No,Owned,Incomplete
SimCity 4,PC / Windows,Digital (Steam),No,Owned,Incomplete
SimCity 4: Deluxe Edition,PC / Windows,Digital (Steam),No,Owned,Incomplete
SimCity 4: Rush Hour,PC / Windows,Digital (Steam),No,Owned,Incomplete
Skyward Collapse,PC / Windows,Digital (Steam),No,Owned,Never Playing
Snakebird,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Snapshot,PC / Windows,Digital (Steam),No,Owned,Incomplete
Snuggle Truck,PC / Windows,Digital (Steam),No,Owned,Incomplete
Solar 2,PC / Windows,Digital (Steam),No,Owned,Completionated
Space Pirates and Zombies,PC / Windows,Digital (Steam),No,Owned,Never Playing
SpaceChem,PC / Windows,Digital (Steam),No,Owned,Finished
Spaceport Hope,PC / Windows,Digital (Steam),No,Owned,Incomplete
Spelunky,PC / Windows,Digital (Steam),No,Owned,Incomplete
Splice,PC / Windows,Digital (Steam),No,Owned,Finished
Stacking,PC / Windows,Digital (Steam),No,Owned,Finished
Star Wars Jedi Knight II: Jedi Outcast,PC / Windows,Digital (Steam),No,Owned,Finished
Star Wars Jedi Knight: Jedi Academy,PC / Windows,Digital (Steam),No,Owned,Incomplete
Star Wars: Knights of the Old Republic,PC / Windows,Digital (Steam),No,Owned,Finished
Star Wars: Knights of the Old Republic II - The Sith Lords,PC / Windows,Digital (Steam),No,Owned,Finished
Starbound,PC / Windows,Digital (Steam),No,Owned,Finished
Stargunner,PC / Windows,Digital (GOG),No,Owned,Incomplete
StarMade,PC / Windows,Digital (Steam),No,Owned,Incomplete
Starseed Pilgrim,PC / Windows,Digital (Steam),No,Owned,Incomplete
Starward Rogue,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Starwhal,PC / Windows,Digital (Steam),No,Owned,Incomplete
